id.f2_rm	nxf1.f2_rm	raw.f2_rm	normal.f2_rm	cohort.f2_rm
EB026	B	0.00007	0.000740424	4/3/09
EB211	B	0.00012	0.001157392	4/3/09
EB030	B	0.00014	0.001380945	4/3/09
EB034	B	0.00022	0.002208735	4/3/09
EB319	B	0.00091	0.009084916	4/3/09
EB189	B	0.00213	0.001081516	4/15/09
EB237	B	0.00310	0.001573233	4/15/09
EB279	B	0.00349	0.001772814	4/15/09
EB222	B	0.00372	0.001890922	4/15/09
EB342	B	0.00214	0.001334754	4/16/09
EB299	B	0.00217	0.001349456	4/16/09
EB336	B	0.00271	0.001686254	4/16/09
EB326	B	0.00289	0.001800217	4/16/09
EB319	B	0.00327	0.002037232	4/16/09
EB338	B	0.00335	0.002086975	4/16/09
EB362	B	0.00657	0.004091404	4/16/09
EB321	B	0.00776	0.004834029	4/16/09
EB323	B	0.01112	0.006926883	4/16/09
EB032	C	0.00037	0.00369398	4/3/09
EB346	C	0.00055	0.00547956	4/3/09
EB217	C	0.00063	0.006311733	4/3/09
EB297	C	0.00445	0.002261018	4/15/09
EB266	C	0.00558	0.00283316	4/15/09
EB265	C	0.00596	0.003029921	4/15/09
EB241	C	0.00627	0.003188702	4/15/09
EB278	C	0.00891	0.00453021	4/15/09
EB225	C	0.01061	0.005392136	4/15/09
EB294	C	0.01089	0.005533425	4/15/09
EB305	C	0.01459	0.009084457	4/16/09
EB340	C	0.03784	0.023560116	4/16/09
